5520,Inukjuak Airport,Canada
5516,Wemindji Airport,Canada
5515,Umiujaq Airport,Canada
5514,Chapais Airport,Canada
5512,Kangiqsualujjuaq (Georges River) Airport,Canada
5511,Lutselke Airport,Canada
5510,Lansdowne House Airport,Canada
5508,Aupaluk Airport,Canada
5507,Waskaganish Airport,Canada
5506,Akulivik Airport,Canada
5504,Ivujivik Airport,Canada
5503,Chevery Airport,Canada
5502,Hopedale Airport,Canada
5501,Nemiscau Airport,Canada
5499,Quaqtaq Airport,Canada
5498,Grise Fiord Airport,Canada
5497,Gillam Airport,Canada
5496,Kuujjuarapik Airport,Canada
5495,Igloolik Airport,Canada
5492,Makkovik Airport,Canada
5491,Fort Hope Airport,Canada
5490,Fort Albany Airport,Canada
5489,Fort Severn Airport,Canada
5488,Nain Airport,Canada
5487,Chesterfield Inlet Airport,Canada
5485,Lourdes De Blanc Sablon Airport,Canada
5482,Attawapiskat Airport,Canada
5481,Kangirsuk Airport,Canada
5480,Kasabonika Airport,Canada
5479,Fort Frances Municipal Airport,Canada
5478,Cat Lake Airport,Canada
5474,La Tabatière Airport,Canada
5473,Tête-à-la-Baleine Airport,Canada
5472,Chisasibi Airport,Canada
5471,Poplar Hill Airport,Canada
5469,Kingfisher Lake Airport,Canada
5468,Bearskin Lake Airport,Canada
5467,North Spirit Lake Airport,Canada
5466,Wunnumin Lake Airport,Canada
5465,Wapekeka Airport,Canada
5464,Summer Beaver Airport,Canada
5463,Whatì Airport,Canada
5462,Colville Lake Airport,Canada
5461,Rigolet Airport,Canada
5457,Anahim Lake Airport,Canada
6789,St Augustin Airport,Canada
6775,Bonaventure Airport,Canada
6738,Bella Coola Airport,Canada
6728,Tasiujaq Airport,Canada
6727,Puvirnituq Airport,Canada
7252,Postville Airport,Canada
7253,Kangiqsujuaq - Wakeham Bay Airport,Canada
7254,Alma Airport,Canada
7255,Havre Saint-Pierre Airport,Canada
7266,Rainbow Lake Airport,Canada
7275,Bella Bella Airport,Canada
7498,Tresco Heliport,United Kingdom
